Id,RecipeName,Servings,Cuisine,Course
1,Masala Karela Recipe,6,Indian,Side Dish
2,Spicy Tomato Rice (Recipe),3,South Indian Recipes,Main Course
3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,4,South Indian Recipes,South Indian Breakfast
4,Udupi Style Ash Gourd Coconut Curry Recipe,4,Udupi,Lunch
5,Mexican Style Black Bean Burrito Recipe,4,Mexican,Lunch
6,Spicy Crunchy Masala Idli Recipe,3,South Indian Recipes,Snack
7,Cauliflower Leaves Chutney (Recipe in Hindi),3,South Indian Recipes,Side Dish
8,Homemade Baked Beans Recipe (Wholesome & Healthy),4,Fusion,High Protein Vegetarian
9,Veg Chili Cheese Burgers Recipe,4,Continental,Main Course
10,And fish soup recipe - Bengali style fish in tomato gravy,2,Bengali Recipes,Dinner
11,Saunf Aloo (Fennel Potato Curry) Recipe,6,Punjabi,Lunch
12,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),4,South Indian Recipes,Side Dish
13,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,4,Indian,Lunch
14,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,4,Indian,Side Dish
15,Homemade Tater Tots Recipe,8,Continental,Appetizer
16,Chinese Darsaan Recipe With Ice Cream,4,Chinese,Dessert
17,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,4,South Indian Recipes,Lunch
18,"Cabbage, Spinach, Pomegranate Slaw with Lemon Dressing Recipe",4,Continental,Appetizer
19,Matar Samosa Recipe -Green Pea Samosa,4,North Indian Recipes,Snack
20,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,4,Continental,Dessert
